Model Name,Info,Accuracy,Sensitivity/Recall,Specificity,PPV,NPV,Balanced_accuracy,F1,AUC,TN,FP,FN,TP
DenseNet201,Covid19+,0.8975,0.8450,0.9500,0.9441,0.8597,0.8975,0.8918,AUC,190,10,31,169
DenseNet201,Covid19+,0.8975,0.8450,0.9500,0.9441,0.8597,0.8975,0.8918,0.96895,190,10,31,169
